height,price,dealNumber,SectorStartEpoch,StartEpoch,LabelShort,TotalSize
267000,100000000000,3,267162,270667,3,4831838208
267000,50000000000,1,267254,274445,1,536870912
267000,40000000000,2,267334,271630,1,8589934592
267000,25000000000,1,267162,272075,1,536870912
267000,20000000000,1,267487,274666,1,2147483648
267000,16000000000,1,267050,270778,1,34359738368
267000,12500000000,3,267026,270879,3,402653184
267000,9000000000,4,267260,272143,4,12884901888
267000,8000000000,1,267282,272416,1,8589934592
267000,7520000000,1,267282,271092,1,8589934592
267000,5000000000,2,267108,274569,2,1073741824
267000,4000000000,1,267184,272166,1,8589934592
267000,3125000000,1,267063,270980,1,33554432
267000,2000000000,5,267011,270115,5,10737418240
267000,1880000000,1,267282,268435,1,2147483648
267000,1250000000,1,267141,270884,1,134217728
267000,1000000000,32,267011,269677,29,63623397376
267000,900000000,10,267260,272022,10,10737418240
267000,800000000,31,267038,272246,31,66571993088
267000,500000000,25,267011,269697,21,22548709376
267000,400000000,13,267043,272499,13,13958643712
267000,250000000,89,267011,272069,88,46711963648
267000,200000000,28,267348,269088,28,60129542144
267000,125000000,4,267011,272271,4,1073741824
267000,100000000,3,267348,273525,3,3221225472
267000,62500000,3,267011,273388,3,402653184
267000,25000000,1,267498,269160,1,268435456
267000,122070,1,267466,271818,1,262144
267000,0,2,267024,270950,2,1207959552
266000,200000000000,7,266563,269766,7,15032385536
266000,100000000000,7,266037,269760,7,10737418240
266000,80000000000,10,266004,270926,10,66571993088
266000,64000000000,2,266251,271812,2,17179869184
266000,50000000000,2,266037,270697,2,2147483648
266000,40000000000,2,266526,270939,2,9663676416
266000,37500000000,1,266138,270874,1,134217728
266000,20000000000,6,266199,268099,6,8053063680
266000,19800000000,1,266657,268491,1,2147483648
266000,16000000000,21,266114,267819,21,721554505728
266000,12500000000,9,266037,269834,9,1476395008
266000,10000000000,20,266706,269551,20,41070624768
266000,9900000000,1,266657,269571,1,1073741824
266000,9000000000,2,266732,271838,1,17179869184
266000,8000000000,16,266225,268362,16,266287972352
266000,7520000000,3,266251,270372,3,25769803776
266000,7000000000,1,266526,270477,1,2147483648
266000,6000000000,32,266219,268543,27,68719476736
266000,5000000000,2,266706,267994,2,2147483648
266000,4000000000,8,266225,268566,8,68719476736
266000,2500000000,3,266698,272597,3,1342177280
266000,2475000000,1,266657,269187,1,268435456
266000,2000000000,14,266241,269386,14,36507222016
266000,1250000000,5,266295,270957,5,939524096
266000,1237500000,1,266657,270925,1,134217728
266000,1000000000,69,266111,268073,67,144149839872
266000,900000000,3,266732,271928,3,3221225472
266000,800000000,25,266051,268450,25,53687091200
266000,625000000,2,266706,270879,2,268435456
266000,540000000,2,266857,268778,2,2147483648
266000,500000000,18,266594,269427,16,18253611008
266000,437500000,1,266526,270972,1,134217728
266000,400000000,5,266481,272334,5,5368709120
266000,250000000,39,266118,272236,39,20937965568
266000,200000000,23,266111,273217,23,49392123904
266000,125000000,1,266279,271145,1,268435456
266000,100000000,10,266111,268302,10,10737418240
266000,62500000,3,266491,270889,3,402653184
266000,50000000,1,266111,271272,1,536870912
266000,25000000,1,266111,267703,1,268435456
266000,20000000,2,266274,267526,2,262144
266000,12500000,4,266111,269361,4,536870912
266000,15259,1,266984,269321,1,32768
266000,2000,26,266225,270362,24,55834574848
266000,1000,6,266225,269785,6,6442450944
266000,125,1,266302,273386,1,134217728
266000,0,1,266179,269817,1,1073741824
265000,100000000000,2,265533,271009,2,2147483648
265000,80000000000,3,265075,272430,3,25769803776
265000,79200000000,2,265170,272697,2,17179869184
265000,64000000000,4,265683,271692,4,34359738368
265000,40000000000,1,265409,273075,1,4294967296
265000,39600000000,1,265743,273075,1,4294967296
265000,28000000000,1,265286,272697,1,8589934592
265000,19800000000,28,265057,269766,28,60129542144
265000,16000000000,3,265304,269431,3,103079215104
265000,12500000000,1,265940,270891,1,134217728
265000,10000000000,23,265231,268600,22,49392123904
265000,9000000000,1,265075,270232,1,8589934592
265000,8000000000,6,265032,268731,6,55834574848
265000,7520000000,3,265683,270732,3,25769803776
265000,7000000000,13,265064,268490,11,27917287424
265000,6000000000,16,265053,268312,13,34359738368
265000,5000000000,1,265061,269999,1,2147483648
265000,4000000000,8,265030,268353,8,68719476736
265000,2000000000,2,265032,269387,2,8589934592
265000,1000000000,208,265007,268107,169,436744486912
265000,800000000,33,265145,268744,31,77309411328
265000,540000000,11,265007,268824,5,11811160064
265000,500000000,47,265009,268542,44,49928994816
265000,250000000,145,265013,271691,145,76841746432
265000,200000000,81,265001,268412,78,173946175488
265000,100000000,28,265001,266803,28,30064771072
265000,31250000,1,265026,271865,1,67108864
265000,25000000,1,265955,271865,1,67108864
265000,20000000,1,265477,267590,1,131072
265000,6250000,2,265110,268851,2,134217728
265000,1000,17,265454,268904,17,32749125632
265000,0,23,265003,268002,23,401042571264
264000,80000000000,7,264274,271680,7,60129542144
264000,64000000000,1,264627,271895,1,8589934592
264000,40000000000,4,264097,270624,4,34359738368
264000,28000000000,1,264026,270949,1,8589934592
264000,20000000000,1,264144,271232,1,2147483648
264000,19800000000,16,264943,269886,16,34359738368
264000,16000000000,2,264029,268036,2,68719476736
264000,10000000000,58,264097,268012,51,124554051584
264000,9000000000,4,264012,269065,2,27917287424
264000,8000000000,6,264171,268380,6,60129542144
264000,7000000000,25,264026,268245,25,53687091200
264000,6000000000,15,264508,268035,15,32212254720
264000,5000000000,2,264144,270935,2,1610612736
264000,4000000000,3,264495,268609,3,25769803776
264000,3125000000,1,264139,268444,1,33554432
264000,2000000000,2,264000,270939,2,8589934592
264000,1000000000,240,264000,267437,188,515396075520
264000,900000000,7,264012,269110,3,7516192768
264000,800000000,24,264415,268192,22,51539607552
264000,540000000,13,264162,268725,8,13958643712
264000,500000000,56,264021,266108,52,57445187584
264000,400000000,9,264415,269951,9,12884901888
264000,250000000,207,264010,268557,199,109657980928
264000,200000000,101,264416,268226,97,215285235712
264000,100000000,10,264442,268572,10,10737418240
264000,25000000,2,264415,270945,2,335544320
264000,20000000,24,264008,264792,3,3145728
264000,15259,2,264495,269329,1,65536
264000,1000,32,264081,268219,30,68719476736
264000,0,160,264002,267131,156,3577171017728
263000,200000000000,1,263334,269647,1,2147483648
263000,100000000000,2,263318,270939,2,2147483648
263000,80000000000,9,263220,268377,9,64424509440
263000,40000000000,4,263601,270835,4,25769803776
263000,20000000000,5,263601,270234,5,17179869184
263000,16000000000,2,263159,267811,2,68719476736
263000,10000000000,31,263495,268027,27,64424509440
263000,9000000000,1,263711,268941,1,8589934592
263000,8000000000,2,263445,267800,2,34359738368
263000,7520000000,1,263670,270905,1,8589934592
263000,7000000000,5,263661,268125,5,10737418240
263000,5000000000,3,263495,265313,3,2281701376
263000,4000000000,4,263159,267238,4,30064771072
263000,3200000000,2,263141,269807,2,17179869184
263000,2000000000,5,263131,267088,5,15032385536
263000,1880000000,27,263193,265196,25,57982058496
263000,1600000000,1,263716,270581,1,4294967296
263000,1000000000,156,263009,266350,136,332876742656
263000,940000000,3,263193,265200,3,3221225472
263000,900000000,1,263711,269006,1,1073741824
263000,800000000,7,263090,268095,5,17179869184
263000,540000000,4,263664,268731,2,4294967296
263000,500000000,56,263064,266806,50,63350767616
263000,470000000,1,263670,268084,1,536870912
263000,400000000,10,263063,268485,10,15032385536
263000,300000000,4,263141,266803,4,4294967296
263000,250000000,139,263181,268922,138,75702992896
263000,200000000,27,263063,268054,27,57982058496
263000,100000000,7,263063,267912,7,5637144576
263000,62500000,1,263886,271065,1,134217728
263000,50000000,1,263090,270663,1,268435456
263000,25000000,4,263090,267011,4,402653184
263000,20000000,54,263051,267517,2,7077888
263000,8000,1,263367,269888,1,8589934592
263000,4000,1,263367,270189,1,4294967296
263000,2000,8,263367,269703,8,17179869184
263000,1000,11,263347,266805,9,20401094656
263000,0,159,263009,264387,158,4446364893184
262000,600000000000,1,262391,267216,1,2147483648
262000,200000000000,32,262732,265326,32,68719476736
262000,80000000000,4,262395,269784,4,34359738368
262000,40000000000,1,262830,269815,1,8589934592
262000,30080000000,1,262545,267382,1,34359738368
262000,20000000000,1,262085,267175,1,2147483648
262000,19800000000,10,262091,268566,10,21474836480
262000,16000000000,1,262939,267712,1,34359738368
262000,6250000000,1,262047,266319,1,67108864
262000,6000000000,5,262196,265150,5,10737418240
262000,4000000000,1,262774,267174,1,8589934592
262000,3500000000,1,262231,268372,1,1073741824
262000,3000000000,3,262196,267707,3,3221225472
262000,2000000000,13,262043,264248,13,30064771072
262000,1000000000,133,262023,265007,108,282410876928
262000,800000000,3,262329,269093,3,19327352832
262000,600000000,18,262347,265354,14,38654705664
262000,500000000,50,262023,266407,47,52076478464
262000,470000000,2,262739,267554,2,1073741824
262000,400000000,1,262741,268613,1,1073741824
262000,300000000,7,262347,268066,4,7516192768
262000,250000000,103,262046,268226,100,54228156416
262000,200000000,99,262044,268488,99,210990268416
262000,150000000,1,262741,268226,1,536870912
262000,100000000,29,262044,266438,29,30601641984
262000,62500000,4,262072,265187,3,536870912
262000,50000000,1,262994,270584,1,536870912
262000,31250000,2,262023,268851,2,134217728
262000,25000000,1,262994,270655,1,268435456
262000,20000000,19,262196,264791,3,2490368
262000,2000,10,262345,269745,10,21474836480
262000,1000,8,262345,266803,8,8589934592
262000,62,1,262345,268851,1,67108864
262000,0,134,262005,265999,134,3525161517056
261000,1000000000000,1,261180,265690,1,262144
261000,100000000000,1,261077,268617,1,1073741824
261000,80000000000,1,261884,269338,1,8589934592
261000,40000000000,1,261986,268420,1,8589934592
261000,20000000000,2,261956,267076,2,4294967296
261000,12500000000,1,261008,265205,1,134217728
261000,10000000000,12,261139,265221,11,23890755584
261000,9900000000,1,261525,268494,1,1073741824
261000,6250000000,1,261225,265287,1,134217728
261000,2000000000,3,261697,264504,3,8589934592
261000,1250000000,1,261006,265225,1,134217728
261000,1000000000,142,261012,262998,128,300681265152
261000,625000000,1,261139,265217,1,134217728
261000,600000000,12,261750,265133,11,25769803776
261000,500000000,76,261007,264763,67,95563022336
261000,300000000,4,261750,267787,3,4294967296
261000,250000000,113,261062,268115,110,60133736448
261000,200000000,91,261741,265260,91,195421011968
261000,125000000,1,261725,265179,1,134217728
261000,100000000,26,261596,262766,26,27917287424
261000,62500000,4,261046,265219,4,536870912
261000,37500000,1,261750,265207,1,134217728
261000,25000000,2,261996,268044,2,536870912
261000,20000000,14,261046,264791,1,1835008
261000,12500000,2,261741,265203,2,268435456
261000,9304,1,261701,263677,1,4096
261000,1921,1,261594,266035,1,1024
261000,1000,4,261466,265551,2,8589934592
261000,100,38,261281,266519,36,73014444032
261000,0,387,261004,262474,386,6695723401216
260000,100000000000,1,260135,265976,1,2147483648
260000,80000000000,1,260506,267970,1,8589934592
260000,62500000000,1,260295,265255,1,134217728
260000,20000000000,5,260889,262189,5,10737418240
260000,19800000000,2,260845,264335,2,4294967296
260000,12500000000,5,260054,265178,5,671088640
260000,10000000000,8,260984,265227,7,17179869184
260000,9000000000,1,260562,265623,1,8589934592
260000,7000000000,1,260134,267398,1,2147483648
260000,6250000000,3,260343,265195,3,402653184
260000,6000000000,11,260282,264456,11,23622320128
260000,5000000000,3,260222,262361,3,1207959552
260000,3000000000,5,260282,264641,5,5368709120
260000,2400000000,1,260975,267228,1,8589934592
260000,2000000000,43,260074,263921,43,100931731456
260000,1250000000,3,260506,262381,3,402653184
260000,1000000000,127,260012,264284,106,263083524096
260000,800000000,1,260737,267645,1,8589934592
260000,625000000,1,260984,265207,1,134217728
260000,600000000,19,260399,267147,16,40802189312
260000,500000000,42,260074,264260,36,44560285696
260000,437500000,1,260377,265185,1,134217728
260000,300000000,7,260399,267158,5,7516192768
260000,250000000,63,260404,265374,62,32818331648
260000,200000000,22,260437,267468,22,47244640256
260000,187500000,1,260282,266535,1,67108864
260000,125000000,3,260134,265192,3,805306368
260000,100000000,4,260437,267668,4,4294967296
260000,62500000,22,260119,265167,17,2952790016
260000,31250000,1,260924,266535,1,67108864
260000,20000000,34,260014,264792,2,4456448
260000,12500000,1,260838,265267,1,134217728
260000,1171875,1,260975,264799,1,4194304
260000,1000,2,260679,265126,2,4294967296
260000,0,280,260014,261454,266,6401648754688
259000,100000000000,1,259941,265716,1,1073741824
259000,64000000000,1,259991,265105,1,34359738368
259000,40000000000,3,259161,261773,3,17179869184
259000,30080000000,1,259890,264994,1,34359738368
259000,20000000000,4,259161,261557,4,8589934592
259000,19800000000,7,259008,264943,7,15032385536
259000,16000000000,1,259388,264875,1,34359738368
